pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         174891671 function calls (149845281 primitive calls) in 105.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
      102    0.000    0.000    0.001    0.000 re.py:170(match)
       35    0.000    0.000    0.000    0.000 __init__.py:1406(_get_metadata_path)
       12    0.000    0.000    0.000    0.000 __init__.py:2094(safe_listdir)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
       39    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
    85/60    0.000    0.000    0.000    0.000 pyparsing.py:3769(__str__)
      469    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
      594    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
      116    0.000    0.000    0.000    0.000 version.py:378(_cmpkey)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      811    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:51(<module>)
